,Title,Most_Pronouns,Introduction,Stableness_Cases,Birth,Death
698,Angus Lewis Macdonald,Male,"Angus Lewis Macdonald PC QC (August 10, 1890 – April 13, 1954), popularly known as 'Angus L.', was a Canadian lawyer, law professor and politician from Nova Scotia. He served as the Liberal premier of Nova Scotia from 1933 to 1940, when he became the federal minister of defence for naval services. He oversaw the creation of an effective Canadian navy and Allied convoy service during World War II.[1] After the war, he returned to Nova Scotia to become premier again. In the election of 1945, his Liberals returned to power while their main rivals, the Conservatives, failed to win a single seat. The Liberal rallying cry, ""All's Well With Angus L.,"" was so effective that the Conservatives despaired of ever beating Macdonald.[2] He died in office in 1954.",Success,1890,1954
699,John A. Macdonald,Male,"Sir John Alexander Macdonald[a] (11 January 1815[b] – 6 June 1891) was the first prime minister of Canada (1867–1873, 1878–1891). The dominant figure of Canadian Confederation, he had a political career which spanned almost half a century.",Success,1815,1891
700,Gregor MacGregor,Male,"General Gregor MacGregor (24 December 1786 – 4 December 1845) was a Scottish soldier, adventurer and confidence trickster who attempted from 1821 to 1837 to draw British and French investors and settlers to ""Poyais"", a fictional Central American territory that he claimed to rule as ""Cazique"". Hundreds invested their savings in supposed Poyaisian government bonds and land certificates, while about 250 emigrated to MacGregor's invented country in 1822–23 to find only an untouched jungle; more than half of them died. MacGregor's Poyais scheme has been called one of the most brazen confidence tricks in history.",Failure,None,None
701,Nelson Mandela,Male,"Nelson Rolihlahla Mandela (/mænˈdɛlə/;[1] Xhosa: [xolíɬaɬa mandɛ̂ːla]; 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by tackling institutionalised racism and fostering racial reconciliation. Ideologically an African nationalist and socialist, he served as President of the African National Congress (ANC) party from 1991 to 1997.",Success,1918,2013
702,Thomas R. Marshall,Male,"Thomas Riley Marshall (March 14, 1854 – June 1, 1925) was an American politician who served as the 28th vice president of the United States from 1913 to 1921 under President Woodrow Wilson. A prominent lawyer in Indiana, he became an active and well known member of the Democratic Party by stumping across the state for other candidates and organizing party rallies that later helped him win election as the 27th governor of Indiana. In office, he proposed a controversial progressive change to the Constitution of Indiana; the Republican Party used the state courts to block the constitutional reform attempt.",Success,1854,None
703,George Mason,Male,"George Mason IV (December 11, 1725 [O.S. November 30, 1725] – October 7, 1792) was an American planter, politician and delegate to the U.S. Constitutional Convention of 1787, one of three delegates who refused to sign the Constitution. His writings, including substantial portions of the Fairfax Resolves of 1774, the Virginia Declaration of Rights of 1776, and his Objections to this Constitution of Government (1787) opposing ratification, have exercised a significant influence on American political thought and events. The Virginia Declaration of Rights, which Mason principally authored, served as a basis for the United States Bill of Rights, of which he has been deemed the father.",Success,1725,1792
704,John McCain,Male,"John Sidney McCain III (August 29, 1936 – August 25, 2018) was an American politician and military officer, who served as a United States senator from Arizona from January 1987 until his death in 2018. He previously served two terms in the United States House of Representatives and was the Republican nominee for president of the United States in the 2008 election, which he lost to Barack Obama.",Success,1936,2018
705,James B. McCreary,Male,"James Bennett McCreary (July 8, 1838 – October 8, 1918) was an American lawyer and politician from Kentucky. He represented the state in both houses of the U.S. Congress and served as its 27th and 37th governor. Shortly after graduating from law school, he was commissioned as the only major in the 11th Kentucky Cavalry, serving under Confederate Brigadier General John Hunt Morgan during the American Civil War. He returned to his legal practice after the war. In 1869, he was elected to the Kentucky House of Representatives where he served until 1875; he was twice chosen Speaker of the House. At their 1875 nominating convention, state Democrats chose McCreary as their nominee for governor, and he won an easy victory over Republican John Marshall Harlan. With the state still feeling the effects of the Panic of 1873, most of McCreary's actions as governor were aimed at easing the plight of the state's poor farmers.",Success,1838,1918
706,Bob McEwen,Male,"Bob McEwen (born January 12, 1950) is an American politician of the Republican Party, who was a member of the United States House of Representatives from southern Ohio's Sixth District, from January 3, 1981 to January 3, 1993. Tom Deimer of Cleveland's Plain Dealer described him as a ""textbook Republican"" who is ""opposed to abortion, gun control, high taxes, and costly government programs."" In the House, he criticized government incompetence and charged corruption by the Democratic majority that ran the House in the 1980s. McEwen, who had easily won three terms in the Ohio House, was elected to Congress at the age of thirty to replace a retiring representative in 1980 and easily won re-election five times.",Success,1968,None
707,William McKinley,Male,"William McKinley Jr. (January 29, 1843 – September 14, 1901) was the 25th president of the United States, serving from March 4, 1897, until his assassination six months into his second term. During his presidency, McKinley led the nation to victory in the Spanish–American War, raised protective tariffs to promote American industry and kept the nation on the gold standard in a rejection of free silver (effectively, expansionary monetary policy).",Success,1843,1901
708,Harvey Milk,Male,"Harvey Bernard Milk (May 22, 1930 – November 27, 1978) was an American politician and the first openly gay elected official in the history of California, where he was elected to the San Francisco Board of Supervisors. Although he was the most pro-LGBT politician in the United States at the time, politics and activism were not his early interests; he was neither open about his sexuality nor civically active until he was 40, after his experiences in the counterculture movement of the 1960s.",Success,1930,1978
709,Edwin P. Morrow,Male,"Edwin Porch Morrow (November 28, 1877 – June 15, 1935) was an American politician, who served as the 40th Governor of Kentucky from 1919 to 1923. He was the only Republican elected to this office between 1907 and 1927. He championed the typical Republican causes of his day, namely equal rights for African-Americans and the use of force to quell violence. Morrow had been schooled in his party's principles by his father, Thomas Z. Morrow, who was its candidate for governor in 1883, and his uncle, William O. Bradley, who was elected governor in 1895. Both men were founding members of the Republican Party in Kentucky.",Success,1877,1935
710,Ngô Đình Cẩn,Male,"Ngô Đình Cẩn (Vietnamese: [ŋo˧ ɗɨ̞̠n˦˩ kəŋ˦˩]; 1911 – 9 May 1964) was a younger brother and confidant of South Vietnam's first president, Ngô Đình Diệm, and an important member of the Diệm government. Diệm put Cẩn in charge of central Vietnam, stretching from Phan Thiết in the south to the border at the 17th parallel, with Cẩn ruling the region as a virtual dictator. Based in the former imperial capital of Huế, Cẩn operated private armies and secret police that controlled the central region and earned himself a reputation as the most oppressive of the Ngô brothers.",Success,None,None
711,Nguyễn Ngọc Thơ,Male,"Nguyễn Ngọc Thơ (26 May 1908 – 12 June 1976)[1] was a Vietnamese politician who was the first Prime Minister of South Vietnam, serving from November 1963 to late January 1964. Thơ was appointed to head a civilian cabinet by the military junta of General Dương Văn Minh, which came to power after overthrowing and assassinating Ngô Đình Diệm, the nation's first president. Thơ's rule was marked by a period of confusion and weak government, as the Military Revolutionary Council (MRC) and the civilian cabinet vied for power. Thơ lost his job and retired from politics when Minh's junta was deposed in a January 1964 coup by General Nguyễn Khánh.",Success,None,None
712,Pat Nixon,Female,"Thelma Catherine ""Pat"" Nixon (née Ryan; March 16, 1912 – June 22, 1993), also commonly known as Patricia Nixon, was an American educator and the wife of Richard Nixon, the 37th President of the United States. During her more than 30 years in public life, she served as both the Second (1953–1961) and First Lady of the United States (1969–1974).",Success,1912,1993
713,Richard Nixon,Male,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was an American politician who served as the 37th president of the United States from 1969 until 1974. The only president to resign from the office, he previously served as the nation's 36th vice president from 1953 to 1961, and as a representative and senator from California.",Success,1913,1994
714,Louie Nunn,Male,"Louie Broady Nunn (March 8, 1924 – January 29, 2004) was the 52nd governor of Kentucky. His election in 1967 made him the first Republican to hold that office since the end of Simeon Willis' term in 1947, and the last to hold the position until the election of Ernie Fletcher in 2003.",Success,1924,2004
715,Barack Obama,Male,"""Barack"" and ""Obama"" redirect here. For other uses, see Barack (disambiguation) and Obama (disambiguation).",Success,None,None
716,"José Paranhos, Viscount of Rio Branco",Male,"José Maria da Silva Paranhos, the Viscount of Rio Branco (16 March 1819 – 1 November 1880) was a politician, monarchist,[1] diplomat, teacher and journalist of the Empire of Brazil (1822–1889). Rio Branco was born in Salvador, in what was then the Captaincy of Bahia, to a wealthy family, but most of the fortune was lost after his parents' deaths early in his childhood.",Success,None,None
717,Paul E. Patton,Male,"Paul Edward Patton (born May 26, 1937) is an American politician who served as the 59th governor of Kentucky from 1995 to 2003. Because of a 1992 amendment to the Kentucky Constitution, he was the first governor eligible to succeed himself in office since James Garrard in 1800. Since 2013, he has been the chancellor of the University of Pikeville in Pikeville, Kentucky after serving as its president from 2010 to 2013. He also served as chairman of the Kentucky Council on Postsecondary Education from 2009 to 2011.",Success,None,None
718,Franklin Peale,Male,"Benjamin Franklin Peale (born Aldrovand Peale; October 15, 1795 – May 5, 1870) was an employee and officer of the Philadelphia Mint from 1833 to 1854.  Although Peale introduced many innovations to the Mint of the United States, he was eventually dismissed amid allegations he had used his position for personal gain.",Success,1795,None
719,Franklin Pierce,Male,"Franklin Pierce (November 23, 1804 – October 8, 1869) was the 14th president of the United States (1853–1857), a northern Democrat who saw the abolitionist movement as a fundamental threat to the unity of the nation. He alienated anti-slavery groups by championing and signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act, yet he failed to stem conflict between North and South, setting the stage for Southern secession and the American Civil War.",Success,1804,1869
720,Józef Piłsudski,Male,"  1928 reproduction of an 1887 Russian wanted poster for Piłsudski, distributed (presumably by his political enemies) ""on the 10th anniversary of Poland's independence"": Translation ""State criminal JÓZEF PIŁSUDSKI, nobleman DESCRIPTION: Age 19 (1887) Height 1.75 m (5.74 ft). Face clear Eyes grey Hair dark-blond Sideburns light-blond, sparse Eyebrows dark-blond, fused Beard dark-blond Mustache light-blond Nose normal Mouth normal Teeth missing some Chin round Distinctive marks: 1) clear face, with eyebrows fused over nose, 2) wart at the end of right ear""",Success,1867,1935
721,Gabriel Pleydell,Male,"Gabriel Pleydell (fl. 1519 – c.1591) of Midg Hall[2] in the parish of Lydiard St John (later Lydiard Tregoze) in Wiltshire, was an English landowner and politician who served as Member of Parliament for the Wootton Bassett and Marlborough constituencies in the Parliament of England. Pleydell was born before 1519 into a large, affluent family. He entered politics in March 1553 as a member for Wootton Bassett, close to his family estate at Midgehall in Wiltshire. Pleydell's election to the Marlborough constituency two years later may have been made possible by his father's influential connections. He returned to the Wootton Bassett seat at the request of Sir John Thynne in 1563; he had supported Thynne in a dispute over the Knighthood of the Shire in 1559.",Success,None,None
722,Thomas Playford IV,Male,"Sir Thomas Playford GCMG (5 July 1896 – 16 June 1981) was an Australian politician from the state of South Australia. He served continuously as Premier of South Australia and leader of the Liberal and Country League from 5 November 1938 to 10 March 1965. Though controversial, it was the longest term of any elected government leader in the history of Australia. His tenure as premier was marked by a period of population and economic growth unmatched by any other Australian state. He was known for his parochial style in pushing South Australia's interests, and was known for his ability to secure a disproportionate share of federal funding for the state as well as his shameless haranguing of federal leaders. His string of election wins was enabled by a system of a malapportionment gerrymander that bore his name, the 'Playmander' − which saw the Labor Party win clear majorities of the statewide two-party vote whilst failing to form government in 1944, 1953, 1962 and 1968.",Success,1896,1981
723,James K. Polk,Male,"James Knox Polk (November 2, 1795 – June 15, 1849) was the 11th president of the United States, serving from 1845 to 1849. He previously was Speaker of the House of Representatives (1835–1839) and governor of Tennessee (1839–1841). A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is chiefly known for extending the territory of the United States during the Mexican–American War; during his presidency, the United States expanded significantly with the annexation of the Republic of Texas, the Oregon Territory, and the Mexican Cession following the American victory in the Mexican–American War.",Success,1795,1849
724,Premiership of John Edward Brownlee,Male,"John Edward Brownlee was Premier of Alberta, Canada, from 1925 to 1934 as leader of the United Farmers of Alberta (UFA) caucus in the Legislative Assembly of Alberta.  After a number of early successes, his popularity and his government's suffered from the hardships of the Great Depression.  In 1934, he was embroiled in a sex scandal when a family friend sued him for seduction.  Though Brownlee denied the events she alleged, when the jury found in her favour he announced his resignation as premier.",Success,None,None
725,Vidkun Quisling,Male,"Vidkun Abraham Lauritz Jonssøn Quisling (/ˈkwɪzlɪŋ/; Norwegian: [ˈvɪdkʉn ˈkvɪslɪŋ] (listen); 18 July 1887 – 24 October 1945) was a Norwegian military officer and politician who nominally headed the government of Norway during the occupation of the country by Nazi Germany during World War II.  He first came to international prominence as a close collaborator of explorer Fridtjof Nansen, organizing humanitarian relief during the Russian famine of 1921 in Povolzhye. He was posted as a Norwegian diplomat to the Soviet Union, and for some time also managed British diplomatic affairs there. He returned to Norway in 1929, and served as Minister of Defence in the governments of Peder Kolstad (1931–32) and Jens Hundseid (1932–33), representing the Farmers' Party. ",Success,1887,None
726,Rainilaiarivony,Male,"Rainilaiarivony (30 January 1828 – 17 July 1896) was a Malagasy politician who served as the Prime Minister of Madagascar from 1864 to 1895, succeeding his older brother Rainivoninahitriniony, who had held the post for thirteen years. His career mirrored that of his father Rainiharo, a renowned military man who became Prime Minister during the reign of Queen Ranavalona I. ",Success,None,None
727,Norodom Ranariddh,Male,Styles ofNorodom RanariddhReference styleHis Royal HighnessSpoken styleYour Royal HighnessAlternative styleSir,Success,1944,None
728,Samuel J. Randall,Male,"Samuel Jackson Randall (October 10, 1828 – April 13, 1890) was an American politician from Pennsylvania who served as a Democratic member of the United States House of Representatives for Pennsylvania's 1st congressional district from 1863 to 1875 and from Pennsylvania's 3rd congressional district from 1875 to 1890.  He served as the 29th Speaker of the House from 1876 to 1881 and was twice a contender for his party's nomination for President of the United States.",Success,1828,1890
729,Nancy Reagan,Female,"Nancy Davis Reagan (born Anne Frances Robbins; July 6, 1921 – March 6, 2016) was an American film actress and the wife of Ronald Reagan, the 40th president of the United States. She was the first lady of the United States from 1981 to 1989.",Success,1921,2016
730,Ronald Reagan,Male,"Ronald Wilson Reagan (/ˈreɪɡən/; February 6, 1911 – June 5, 2004) was an American politician who served as the 40th president of the United States from 1981 to 1989 and became the highly influential voice of modern conservatism. Prior to his presidency, he was a Hollywood actor and union leader before serving as the 33rd governor of California from 1967 to 1975.",Success,1911,2004
731,Richard Gavin Reid,Male,"Richard Gavin ""Dick"" Reid (17 January 1879 – 17 October 1980) was a Canadian politician who served as the sixth Premier of Alberta from 1934 to 1935. He was the last member of the United Farmers of Alberta (UFA) to hold the office, and that party's defeat at the hands of the upstart Social Credit League in the 1935 election made him the shortest serving premier to that point in Alberta's history.",Success,1879,1980
732,Louis Riel,Male,"Louis David Riel  (/ˈluːi riˈɛl/; French: [lwi ʁjɛl]; 22 October 1844 – 16 November 1885) was a Canadian politician, a founder of the province of Manitoba, and a political leader of the Métis people of the Canadian Prairies.[1] He led two rebellions against the government of Canada and its first post-Confederation prime minister, John A. Macdonald. Riel sought to preserve Métis rights and culture as their homelands in the Northwest came progressively under the Canadian sphere of influence. Over the decades, he has been made a folk hero by Francophones, Catholic nationalists, native rights activists, and the New Left student movement. Arguably, Riel has received more scholarly attention than any other figure in Canadian history.[2]",Success,1844,None
733,George W. Romney,Male,"George Wilcken Romney (July 8, 1907 – July 26, 1995) was an  American businessman and Republican Party politician. He was chairman and president of American Motors Corporation from 1954 to 1962, the 43rd Governor of Michigan from 1963 to 1969, and the United States Secretary of Housing and Urban Development from 1969 to 1973.  He was the father of former Governor of Massachusetts, 2012 Republican presidential nominee and current United States Senator from Utah Mitt Romney, husband of 1970 U.S. Senate candidate Lenore Romney, and grandfather of current Republican National Committee chair Ronna McDaniel.",Success,1907,1995
734,Mitt Romney,Male,"Willard Mitt Romney (born March 12, 1947) is an American politician and businessman serving as the junior United States senator from Utah since January 2019. He previously served as the 70th Governor of Massachusetts from 2003 to 2007 and was the Republican Party's nominee for President of the United States in the 2012 election.",Success,1947,None
735,Rise of Neville Chamberlain,Male,"The early life, business career and political rise of Neville Chamberlain culminated on 28 May 1937, when he was summoned to Buckingham Palace to ""kiss hands"" and accept the office of Prime Minister of the United Kingdom. Chamberlain had long been regarded as Prime Minister Stanley Baldwin's political heir, and when Baldwin announced his retirement, Chamberlain was seen as the only possible successor.",Success,1869,1940
736,Juan Manuel de Rosas,Male,"Juan Manuel de Rosas (30 March 1793 – 14 March 1877), nicknamed ""Restorer of the Laws"",[A] was a politician and army officer who ruled Buenos Aires Province and briefly the Argentine Confederation. Although born into a wealthy family, Rosas independently amassed a personal fortune, acquiring large tracts of land in the process. Rosas enlisted his workers in a private militia, as was common for rural proprietors, and took part in the disputes that led to numerous civil wars in his country. Victorious in warfare, personally influential, and with vast landholdings and a loyal private army, Rosas became a caudillo, as provincial warlords in the region were known. He eventually reached the rank of brigadier general, the highest in the Argentine Army, and became the undisputed leader of the Federalist Party.",Success,1793,None
737,Lawrence Sullivan Ross,Male,"Lawrence Sullivan ""Sul"" Ross (September 27, 1838 – January 3, 1898) was the 19th Governor of Texas, a Confederate States Army general during the American Civil War, and a president of the Agricultural and Mechanical College of Texas, now called Texas A&M University.",Success,1838,1898
738,Alexander Cameron Rutherford,Male,"Alexander Cameron Rutherford KC (February 2, 1857 – June 11, 1941) was a Canadian lawyer and politician who served as the first premier of Alberta from 1905 to 1910. Born in Ormond, Ontario, he studied and practised law in Ottawa before he moved with his family to the North-West Territories in 1895. There, he began his political career, winning in his third attempt a seat in the North-West Legislative Assembly. In keeping with the territorial custom, Rutherford ran as an independent but generally supported the territorial administration of Premier Frederick W. A. G. Haultain. At the federal level, however, Rutherford was a Liberal.",Success,1857,None
739,Charles Scott (governor),Male,"Charles Scott (April 1739 – October 22, 1813) was an 18th-century American soldier who was elected the fourth Governor of Kentucky in 1808. Orphaned in his teens, Scott enlisted in the Virginia Regiment in October 1755 and served as a scout and escort during the French and Indian War. He quickly rose through the ranks to become a captain. After the war, he married and engaged in agricultural pursuits on land left to him by his father, but he returned to active military service in 1775 as the American Revolution began to grow in intensity. In August 1776, he was promoted to colonel and given command of the 5th Virginia Regiment. The 5th Virginia joined George Washington in New Jersey later that year, serving with him for the duration of the Philadelphia campaign. Scott commanded Washington's light infantry, and by late 1778 was also serving as his chief of intelligence. Furloughed at the end of the Philadelphia campaign, Scott returned to active service in March 1779 and was ordered to South Carolina to assist General Benjamin Lincoln in the southern theater. He arrived in Charleston, South Carolina, just as Henry Clinton had begun his siege of the city. Scott was taken as a prisoner of war when Charleston surrendered. Paroled in March 1781 and exchanged for Lord Rawdon in July 1782, Scott managed to complete a few recruiting assignments before the war ended.",Failure,1739,1813
740,William H. Seward,Male,"William Henry Seward (May 16, 1801 – October 10, 1872) was United States Secretary of State from 1861 to 1869, and earlier served as governor of New York and United States Senator. A determined opponent of the spread of slavery in the years leading up to the American Civil War, he was a prominent figure in the Republican Party in its formative years, and was praised for his work on behalf of the Union as Secretary of State during the Civil War.",Success,1801,1872
741,Solomon P. Sharp,Male,"Solomon Porcius Sharp (August 22, 1787 – November 7, 1825) was an American attorney and politician, serving as attorney general of Kentucky and a member of the United States Congress and the Kentucky General Assembly. His murder by Jereboam O. Beauchamp in 1825 is referred to as the Beauchamp–Sharp Tragedy or ""The Kentucky Tragedy.""",Success,1787,1825
742,Isaac Shelby,Male,"Isaac Shelby (December 11, 1750 – July 18, 1826) was the first and fifth Governor of Kentucky and served in the state legislatures of Virginia and North Carolina. He was also a soldier in Lord Dunmore's War, the American Revolutionary War, and the War of 1812. While governor, he led the Kentucky militia in the Battle of the Thames, an action that was rewarded with a Congressional Gold Medal. Counties in nine states, and several cities and military bases, have been named in his honor. His fondness for John Dickinson's ""The Liberty Song"" is believed to be the reason Kentucky adopted the state motto ""United we stand, divided we fall"".",Success,1750,1826
743,Arthur Sifton,Male,"Arthur Lewis Watkins Sifton, PC (UK), PC (Can), KC (October 26, 1858 – January 21, 1921), was a Canadian politician who served as the second Premier of Alberta from 1910 until 1917. He became a minister in the Government of Canada thereafter.  Born in Ontario, he grew up there and in Winnipeg, where he became a lawyer.  He subsequently practised law with his brother Clifford Sifton in Brandon, Manitoba, where he was also active in municipal politics.  He moved west to Prince Albert in 1885 and to Calgary in 1889.  There he was elected to the 4th and 5th North-West Legislative Assemblies; he later served as a minister in the government of Premier Frederick W. A. G. Haultain.  In 1903, the federal government, at the instigation of his brother who was now one of its ministers, made Arthur Sifton the Chief Justice of the Northwest Territories.  When Alberta was created out of a portion of the Northwest Territories in 1905, Sifton became its first chief justice.",Success,1858,1921
744,Ian Smith,Male,"Ian Douglas Smith GCLM ID (8 April 1919 – 20 November 2007) was a politician, farmer, and fighter pilot who served as Prime Minister of Rhodesia (or Southern Rhodesia; today Zimbabwe) from 1964 to 1979.[n 1] He was the country's first premier not born abroad, and led the predominantly white government that unilaterally declared independence from the United Kingdom in 1965, following prolonged dispute over the terms. He remained Prime Minister for almost all of the 14 years of international isolation that followed, and oversaw Rhodesia's security forces during most of the Bush War, which pitted the unrecognised administration against communist-backed black nationalist guerrilla groups. Smith, who has been described as personifying white Rhodesia, remains a highly controversial figure—supporters venerate him as a man of integrity and vision who understood the uncomfortable truths of Africa,[5] while critics describe an unrepentant racist whose policies and actions caused the deaths of thousands and contributed to Zimbabwe's later crises.",Success,None,None
745,Albert Speer,Male,"Albert Speer (/ʃpɛər/; German: [ˈʃpeːɐ̯] (listen); March 19, 1905 – September 1, 1981) was the Minister of Armaments and War Production in Nazi Germany during most of World War II. A close ally of Adolf Hitler, he was convicted at the Nuremberg trials and sentenced to 20 years in prison.",Success,1905,None
746,Augustus Owsley Stanley,Male,"Augustus Owsley Stanley I (May 21, 1867 – August 12, 1958) was an American politician from Kentucky. A member of the Democratic Party, he served as the 38th Governor of Kentucky and also represented the state in both the U.S. House of Representatives and the U.S. Senate. From 1903 to 1915, Stanley represented Kentucky's 2nd congressional district in the House of Representatives, where he gained a reputation as a progressive reformer. Beginning in 1904, he called for an antitrust investigation of the American Tobacco Company, claiming they were a monopsony that drove down prices for the tobacco farmers of his district. As a result of his investigation, the Supreme Court of the United States ordered the breakup of the American Tobacco Company in 1911. Stanley also chaired a committee that conducted an antitrust investigation of U.S. Steel, which brought him national acclaim. Many of his ideas were incorporated into the Clayton Antitrust Act.",Success,1867,1958
747,Ed Stelmach,Male,"Edward Michael Stelmach (/ˈstɛlmæk/; born May 11, 1951) is a Canadian politician and served as the 13th Premier of Alberta, Canada, from 2006 to 2011. The grandson of Ukrainian immigrants, Stelmach was born and raised on a farm near Lamont and speaks fluent Ukrainian. He spent his entire pre-political adult life as a farmer, except for some time spent studying at the University of Alberta. His first foray into politics was a 1986 municipal election, when he was elected to Lamont County council. A year into his term, he was appointed reeve.  He continued in this position until his entry into provincial politics.",Success,1951,None
748,Thaddeus Stevens,Male,"Thaddeus Stevens (April 4, 1792 – August 11, 1868) was a member of the United States House of Representatives from Pennsylvania and one of the leaders of the Radical Republican faction of the Republican Party during the 1860s.  A fierce opponent of slavery and discrimination against  African-Americans, Stevens sought to secure their rights during Reconstruction, in opposition to U.S. President Andrew Johnson. As chairman of the House Ways and Means Committee during the American Civil War, he played a leading role, focusing his attention on defeating the Confederacy, financing the war with new taxes and borrowing, crushing the power of slave owners, ending slavery, and securing equal rights for the Freedmen.",Success,1792,1868
749,Charles Stewart (Canadian politician),Male,"Charles Stewart, PC (August 26, 1868 – December 6, 1946) was a Canadian politician who served as the third Premier of Alberta from 1917 until 1921.  Born in Strabane, Ontario, in Wentworth County, Stewart was a farmer who moved west to Alberta after his farm was destroyed by a storm.  There he became active in politics and was elected to the Legislative Assembly of Alberta in the 1909 election.  He served as Minister of Public Works and Minister of Municipal Affairs—the first person to hold the latter position in Alberta—in the government of Arthur Sifton.  When Sifton left provincial politics in 1917 to join the federal cabinet, Stewart was named his replacement.",Success,1868,None
750,William Howard Taft,Male,"William Howard Taft (September 15, 1857 – March 8, 1930) was the 27th president of the United States (1909–1913) and the tenth chief justice of the United States (1921–1930), the only person to have held both offices. Taft was elected president in 1908, the chosen successor of Theodore Roosevelt, but was defeated for re-election by Woodrow Wilson in 1912 after Roosevelt split the Republican vote by running as a third-party candidate. In 1921, President Warren G. Harding appointed Taft to be chief justice, a position in which he served until a month before his death.",Success,1857,None
751,Jeremy Thorpe,Male,"John Jeremy Thorpe (29 April 1929 – 4 December 2014) was a British politician who served as the Member of Parliament for North Devon from 1959 to 1979, and as leader of the Liberal Party between 1967 and 1976. In May 1979 he was tried at the Old Bailey on charges of conspiracy and incitement to murder, arising from an earlier relationship with Norman Scott, a former model. Thorpe was acquitted on all charges, but the case, and the furore surrounding it, ended his political career.",Success,None,None
752,Benjamin Tillman,Male,"Benjamin Ryan Tillman (August 11, 1847 – July 3, 1918) was an American politician of the Democratic Party who served as Governor of South Carolina from 1890 to 1894, and a United States Senator from 1895 until his death in 1918. A white supremacist who opposed civil rights for black Americans, Tillman led a paramilitary group of Red Shirts during South Carolina's violent 1876 election. On the floor of the U.S. Senate, he defended lynching, and frequently ridiculed black Americans in his speeches, boasting of having helped kill them during that campaign.[1]",Success,1847,1918
753,Harry S. Truman,Male,"Harry S. Truman[b] (May 8, 1884 – December 26, 1972) was the 33rd president of the United States from 1945 to 1953, succeeding upon the death of Franklin D. Roosevelt after serving as vice president. He implemented the Marshall Plan to rebuild the economy of Western Europe, and established the Truman Doctrine and NATO.",Success,1884,1972
754,Irakli Tsereteli,Male,Irakli Tsereteli[a] (20 November 1881 – 20 May 1959) was a Georgian politician and a leading spokesman of the Social Democratic Party of Georgia and later Russian Social Democratic Labour Party (RSDLP) during the era of the Russian Revolutions.,Success,1881,1959
755,George Tucker (politician),Male,"George Tucker (August 20, 1775 – April 10, 1861) was an American attorney, politician, historian, author, and educator. His literary works include the first fiction of colonial life in Virginia and another which is among the nation's earliest science fictions. Tucker also published the first comprehensive biography of Thomas Jefferson, as well as his 1856 History of the United States.",Success,1775,1861
756,John Tyler,Male,"John Tyler (March 29, 1790 – January 18, 1862)[1] was the tenth president of the United States from 1841 to 1845 after briefly serving as the tenth vice president in 1841; he was elected to the latter office on the 1840 Whig ticket with President William Henry Harrison. Tyler ascended to the presidency after Harrison's death in April 1841, only a month after the start of the new administration. He was a stalwart supporter and advocate of states' rights, and as president he adopted nationalist policies only when they did not infringe on the powers of the states. His unexpected rise to the presidency, with the resulting threat to the presidential ambitions of Henry Clay and other politicians, left him estranged from both major political parties.",Success,1790,1862
757,John Tyndall (politician),Male,"John Hutchyns Tyndall (14 July 1934 – 19 July 2005) was a British fascist political activist. A leading member of various small neo-Nazi groups during the late 1950s and 1960s, he was chairman of the National Front (NF) from 1972 to 1974 and again from 1975 to 1980, and then chairman of the British National Party (BNP) from 1982 to 1999. He unsuccessfully stood for election to the House of Commons and European Parliament on several occasions.",Success,1934,2005
758,Fakih Usman,Male,"This Indonesian name does not have a family name. The name Usman is a patronymic, and the person should be referred by the given name, Fakih.",Success,1920,None
759,P. K. van der Byl,Male,"Pieter Kenyon Fleming-Voltelyn van der Byl, GLM ID (11 November 1923 – 15 November 1999) was a Rhodesian politician who served as his country's Foreign Minister from 1974 to 1979 as a member of the Rhodesian Front (RF). A close associate of Prime Minister Ian Smith, Van der Byl opposed attempts to compromise with the British government and domestic black nationalist opposition on the issue of majority rule throughout most his time in government. However, in the late 1970s he supported the moves which led to majority rule and internationally recognised independence for Zimbabwe.",Success,1923,1999
760,Jerry Voorhis,Male,"Horace Jeremiah ""Jerry"" Voorhis (April 6, 1901 – September 11, 1984) was a Democratic politician from California. He served five terms in the United States House of Representatives from 1937 to 1947, representing the 12th Congressional district in Los Angeles County. He was the first political opponent of Richard Nixon, who defeated Voorhis for re-election in 1946 in a campaign cited as an example of Nixon's use of red-baiting during his political rise.",Success,None,None
761,James B. Weaver,Male,"James Baird Weaver (June 12, 1833 – February 6, 1912) was a member of the United States House of Representatives and two-time candidate for President of the United States. Born in Ohio, he moved to Iowa as a boy when his family claimed a homestead on the frontier. He became politically active as a young man and was an advocate for farmers and laborers. He joined and quit several political parties in the furtherance of the progressive causes in which he believed. After serving in the Union Army in the American Civil War, Weaver returned to Iowa and worked for the election of Republican candidates. After several unsuccessful attempts at Republican nominations to various offices, and growing dissatisfied with the conservative wing of the party, in 1877 Weaver switched to the Greenback Party, which supported increasing the money supply and regulating big business. As a Greenbacker with Democratic support, Weaver won election to the House in 1878.",Success,1833,1912
